anchor,variant,edit_distance,description,model,trained_cos,kron_cos,bucket,anchor_pieces,variant_pieces
run,rune,1,near_unrelated,deepseek-v3-base,0.2329,0.8660,unrelated,1,2
run,road,3,unrelated_short,deepseek-v3-base,0.0793,0.2884,unrelated,1,1
run,kitchen,6,unrelated_long,deepseek-v3-base,0.0606,-0.0006,unrelated,1,2
compute,compute,0,self,deepseek-v3-base,1.0000,1.0000,self,1,1
compute,Compute,1,case_swap,deepseek-v3-base,0.5380,0.8570,same_canonical,1,1
compute,computes,1,morph_+s,deepseek-v3-base,0.2169,0.9353,morphological,1,2
compute,computed,1,morph_+d,deepseek-v3-base,0.2447,0.9353,morphological,1,2
compute,computer,1,morph_+r,deepseek-v3-base,0.2166,0.9353,morphological,1,1
compute,computing,2,morph_+ing,deepseek-v3-base,0.2061,0.7557,morphological,1,2
compute,computation,3,morph_+ation,deepseek-v3-base,0.2024,0.6834,morphological,1,2
compute,commute,1,near_unrelated,deepseek-v3-base,0.1093,0.8570,unrelated,1,2
compute,compose,2,unrelated,deepseek-v3-base,0.1645,0.7140,unrelated,1,2
compute,kitchen,7,unrelated_long,deepseek-v3-base,0.0300,-0.0009,unrelated,1,2
nation,nation,0,self,deepseek-v3-base,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,deepseek-v3-base,0.2395,0.8332,same_canonical,1,2
nation,nations,1,morph_+s,deepseek-v3-base,0.2053,0.9258,morphological,1,2
nation,national,2,morph_+al,deepseek-v3-base,0.2033,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,deepseek-v3-base,0.1715,0.7744,morphological,1,2
nation,station,1,near_unrelated,deepseek-v3-base,0.1595,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,deepseek-v3-base,0.0805,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,deepseek-v3-base,0.2121,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,deepseek-v3-base,0.0220,0.1536,unrelated,1,2
import,import,0,self,deepseek-v3-base,1.0000,1.0000,self,1,1
import,Import,1,case_swap,deepseek-v3-base,0.2767,0.8332,same_canonical,1,1
import,imports,1,morph_+s,deepseek-v3-base,0.6995,0.9258,morphological,1,2
